University_category,Department,Gender,Age,YearofStudy,CGPA,credits_completed,study_strategy,how_many_courses_retaken,year1,year2,year3,year4,reason_for_retaking_course_01,reason_for_retaking_course_02,reason_for_retaking_course_03,reason_for_retaking_course_04,reason_for_retaking_course_05,reason_for_retaking_course_06,subject_area,attendance,study_time,co-curricular_activities,co-curricular_activities_time,co-curricular_activities_stress,involvedInStudentPolitics,studentPoliticsTime,studyHabits,formativeAssessmentsMarks,midtermExamsMarks,finalExamsMarks,confidence,familyResponsibilities,part-timeJob,part-timeJob_time,stressAcademicJourney,livingArrangement,supportAcademicChallenges,studyEnvironment,helpFromClassmates,engaged_classroom_discussions,time_management_skills,ever_retaken
Private,Engineering and Technology,Male,23,3rd Year 1st Semester,3.25,100,Lecture Materials and Self-Sourced Resources,1,No,Yes,No,No,0,0,Personal issues,0,0,0,IT,60-70%,8-12h,Yes,3-7h,No,No,0,Only before exams,60-70%,60-70%,60-70%,4,Yes,Tuition,1-3h,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Public,Engineering and Technology,Male,24,4th Year 1st Semester,3.5,140,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,70-80%,8-12h,Yes,3-7h,No,No,0,Regular,60-70%,60-70%,60-70%,4,No,Tuition,1-3h,Yes,With family,Yes,4,Yes,Sometimes,4,Yes
Private,Sciences,Male,23,3rd Year 1st Semester,3,100,Group Study,1,Yes,No,No,No,0,0,Personal issues,0,0,0,Math,60-70%,8-12h,No,0,No,Yes,8-12h,Only before exams,50-60%,60-70%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,4,Yes
Public,Business Studies,Male,24,3rd Year 2nd Semester,3.25,120,Group Study,1,No,Yes,No,No,0,0,0,Poor time management,0,0,Business,70-80%,8-12h,Yes,3-7h,No,No,0,Only before exams,50-60%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Rarely,3,Yes
National,Sciences,Male,22,2nd Year 2nd Semester,3,80,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,3-7h,No,0,No,Yes,8-12h,Irregular,50-60%,60-70%,60-70%,3,Yes,Tuition,more than 12,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Private,Sciences,Male,22,1st Year 2nd Semester,3,40,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,3-7h,Maybe,No,0,Only before exams,50-60%,60-70%,50-60%,3,Yes,Tuition,8-12h,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Private,Sciences,Male,22,2nd Year 2nd Semester,3,80,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,8-12h,Maybe,No,0,Only before exams,60-70%,50-60%,60-70%,3,No,Not Applicable,0,No,With family,Yes,4,Yes,Sometimes,4,Yes
National,Sciences,Male,24,3rd Year 2nd Semester,3,120,Group Study,2,Yes,Yes,No,No,0,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,No,0,No,No,0,Only before exams,50-60%,60-70%,50-60%,4,Yes,Not Applicable,8-12h,Yes,With family,Yes,4,Yes,Sometimes,4,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,3,80,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,8-12h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,3,Yes,Rarely,4,Yes
National,Social Sciences,Male,24,4th Year 1st Semester,3.25,140,Group Study,1,Yes,No,No,No,0,0,0,Poor time management,0,0,Social Sciences,60-70%,8-12h,Yes,8-12h,Maybe,No,0,Irregular,50-60%,60-70%,60-70%,4,Yes,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,3,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,8-12h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,3,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Rarely,3,Yes
National,Business Studies,Male,23,3rd Year 1st Semester,3.33,100,Group Study,1,Yes,No,No,No,0,0,Personal issues,0,0,0,Business,60-70%,8-12h,Yes,more than 12,Maybe,Yes,8-12h,Irregular,50-60%,60-70%,60-70%,3,No,Tuition,1-3h,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Public,Engineering and Technology ,Male,22,2nd Year 2nd Semester,3.5,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,Poor time management,0,0,IT,60-70%,more than 12,Yes,8-12h,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,No,3,Yes,Sometimes,4,Yes
National,Sciences,Male,24,3rd Year 2nd Semester,3.25,120,Group Study,1,Yes,No,No,No,0,0,Personal issues,0,0,0,Math,Below 50%,8-12h,Yes,3-7h,Maybe,No,0,Only before exams,50-60%,60-70%,60-70%,3,Yes,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Social Sciences,Male,22,2nd Year 2nd Semester,3,80,Group Study,1,Yes,No,No,No,0,0,0,0,0,Family problems,Social Sciences,60-70%,8-12h,Yes,3-7h,Maybe,No,0,Irregular,60-70%,50-60%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,3,Yes
National,Sciences,Male,23,3rd Year 1st Semester,3.25,100,Group Study,1,Yes,No,No,No,0,0,0,0,Health issues,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,8-12h,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,3,No,Not Applicable,more than 12,Yes,University dorm,Yes,3,Yes,Sometimes,3,Yes
Public,Engineering and Technology ,Male,25,4th Year 2nd Semester,3,160,Group Study,3,No,Yes,Yes,No,Lack of preparation,0,0,0,Health issues,Family problems,IT,60-70%,8-12h,Yes,8-12h,Yes,No,0,Irregular,60-70%,60-70%,60-70%,3,Yes,Tuition,1-3h,Yes,Off-campus apartment,Yes,4,Yes,Rarely,3,Yes
Private,Sciences,Male,22,2nd Year 1st Semester,3.5,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,8-12h,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Sometimes,3,Yes
National,Sciences,Female,23,3rd Year 1st Semester,3,100,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,8-12h,Maybe,No,0,Irregular,50-60%,60-70%,50-60%,3,Yes,Not Applicable,0,Yes,With family,Yes,4,Yes,Rarely,4,Yes
National,Sciences,Male,24,4th Year 1st Semester,3.25,140,Group Study,2,No,Yes,Yes,No,0,0,0,0,Health issues,Family problems,Math,60-70%,8-12h,Yes,3-7h,Maybe,Yes,1-3h,Irregular,60-70%,60-70%,60-70%,3,Yes,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
Public,Sciences,Male,22,2nd Year 1st Semester,3.25,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,3-7h,Yes,1-3h,No,No,0,Irregular,50-60%,60-70%,60-70%,3,Yes,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
National,Business Studies,Male,24,3rd Year 2nd Semester,3,120,Lecture Materials and Self-Sourced Resources,1,No,Yes,No,No,0,0,0,0,0,Family problems,Business,Below 50%,3-7h,No,0,Maybe,Yes,1-3h,Only before exams,50-60%,50-60%,50-60%,3,Yes,Not Applicable,0,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,3,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,3-7h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
National,Sciences,Male,23,3rd Year 1st Semester,3.25,100,Group Study,1,Yes,No,No,No,0,0,0,0,0,Family problems,Math,Below 50%,3-7h,Yes,3-7h,Maybe,No,0,Irregular,50-60%,50-60%,60-70%,3,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Public,Sciences,Female,25,4th Year 1st Semester,3.33,140,Group Study,2,Yes,Yes,No,No,0,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,1-3h,No,No,0,Irregular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
National,Social Sciences,Male,23,2nd Year 2nd Semester,3.25,80,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,Below 50%,3-7h,Yes,8-12h,Maybe,Yes,8-12h,Irregular,50-60%,50-60%,60-70%,4,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Rarely,3,Yes
Private,Engineering and Technology ,Male,24,3rd Year 1st Semester,3.5,100,Lecture Materials and Self-Sourced Resources,1,No,Yes,No,No,0,0,0,0,0,Family problems,IT,70-80%,8-12h,Yes,3-7h,Maybe,No,0,Regular,60-70%,70-80%,60-70%,4,Yes,Tuition,3-7h,Yes,With family,Yes,3,Yes,Sometimes,4,Yes
National,Business Studies,Male,22,2nd Year 1st Semester,2.9,60,Group Study,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Business,Below 50%,3-7h,Yes,3-7h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,4,Yes,Tuition,1-3h,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Engineering and Technology ,Male,23,2nd Year 2nd Semester,3.25,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,Poor time management,0,0,IT,70-80%,more than 12,Yes,8-12h,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,3,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,4,Yes
National,Sciences,Male,24,3rd Year 2nd Semester,3,120,Lecture Materials and Self-Sourced Resources,1,No,Yes,No,No,0,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,3-7h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Private,Engineering and Technology ,Male,25,4th Year 1st Semester,3.5,140,Group Study,1,No,Yes,No,No,0,0,Personal issues,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Irregular,60-70%,70-80%,70-80%,4,Yes,Tuition,1-3h,Yes,With family,Yes,4,Yes,Sometimes,4,Yes
Public,Life Sciences,Male,23,3rd Year 1st Semester,3,100,Group Study,1,No,Yes,No,No,0,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,3-7h,Yes,more than 12,Maybe,Yes,8-12h,Irregular,50-60%,50-60%,50-60%,4,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Rarely,4,Yes
Public,Sciences,Female,22,2nd Year 2nd Semester,3,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,more than 12,Maybe,No,0,Irregular,60-70%,60-70%,50-60%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,Yes
National,Sciences,Female,25,4th Year 2nd Semester,3.33,160,Group Study,3,Yes,Yes,No,Yes,Lack of preparation,0,0,Poor time management,0,Family problems,Math,Below 50%,8-12h,Yes,8-12h,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Sometimes,4,Yes
Public,Social Sciences,Male,22,2nd Year 1st Semester,3,60,Group Study,1,Yes,No,No,No,0,0,0,Poor time management,0,0,Social Sciences,70-80%,3-7h,Yes,3-7h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Rarely,4,Yes
Public,Business Studies,Male,24,3rd Year 1st Semester,3.25,100,Group Study,1,Yes,No,No,No,0,0,0,Poor time management,0,0,Business,80-90%,more than 12,Yes,more than 12,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
National,Sciences,Male,23,3rd Year 1st Semester,3,100,Lecture Materials and Self-Sourced Resources,1,No,Yes,No,No,0,0,0,0,0,Family problems,Math,Below 50%,3-7h,Yes,8-12h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,4,Yes,Tuition,1-3h,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
National,Sciences,Female,22,2nd Year 1st Semester,2.9,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,3-7h,Yes,No,0,Irregular,50-60%,50-60%,50-60%,4,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Business Studies,Male,23,3rd Year 1st Semester,2.9,100,Group Study,3,Yes,Yes,Yes,No,0,0,Personal issues,Poor time management,0,Family problems,Business,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
Private,Sciences,Male,24,3rd Year 1st Semester,3,120,Group Study,2,Yes,No,Yes,No,0,0,0,Poor time management,0,0,Math,70-80%,8-12h,Yes,3-7h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,4,Yes,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Sometimes,3,Yes
National,Social Sciences,Male,22,2nd Year 1st Semester,2.9,60,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,Below 50%,1-3h,Yes,8-12h,Maybe,Yes,1-3h,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
National,Business Studies,Male,24,3rd Year 2nd Semester,3,120,Group Study,2,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,0,Business,Below 50%,3-7h,Yes,8-12h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
National,Sciences,Male,22,2nd Year 1st Semester,3.25,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,3-7h,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,4,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Private,Engineering and Technology ,Male,24,3rd Year 2nd Semester,3.33,120,Group Study,1,No,Yes,No,No,0,0,0,0,Health issues,0,IT,70-80%,more than 12,Yes,3-7h,No,No,0,Irregular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Sometimes,4,Yes
National,Social Sciences,Male,23,2nd Year 2nd Semester,3,80,Group Study,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,Below 50%,3-7h,Yes,1-3h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,4,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Public,Sciences,Male,24,3rd Year 2nd Semester,3.3,120,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,Personal issues,0,0,Family problems,Math,60-70%,more than 12,Yes,1-3h,Maybe,Yes,8-12h,Irregular,50-60%,60-70%,60-70%,4,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Sometimes,4,Yes
Public,Engineering and Technology,Male,22,3rd Year 1st Semester,3.34,90,Only Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Math,50-60%,3-7h,Yes,1-3h,Maybe,No,0,Only before exams,50-60%,50-60%,60-70%,2,Yes,Tuition,more than 12,Yes,With family,No,3,Yes,Sometimes,1,Yes
Private,Life Sciences,Male,24,3rd Year 2nd Semester,3.25,120,Group Study,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,Maybe,No,0,Irregular,50-60%,60-70%,60-70%,3,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Sometimes,4,Yes
Private,Life Sciences,Male,22,2nd Year 2nd Semester,3,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,1-3h,No,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Rarely,3,Yes
Public,Sciences,Female,22,2nd Year 2nd Semester,3,80,Only Lecture Materials,0,No,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,No,No,0,Regular,50-60%,50-60%,60-70%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Life Sciences,Female,23,3rd Year 1st Semester,3.25,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,8-12h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Private,Engineering and Technology ,Female,20,1st Year 2nd Semester,3.5,40,Group Study,0,No,No,No,No,0,Other,0,0,0,0,IT,80-90%,more than 12,Yes,3-7h,No,No,0,Regular,60-70%,60-70%,70-80%,4,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Rarely,4,No
National,Sciences,Male,25,4th Year 2nd Semester,2.9,160,Only Self-Sourced Resources,4,Yes,Yes,Yes,No,0,0,Personal issues,0,Health issues,Family problems,Math,Below 50%,3-7h,No,0,No,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,3,Yes
Public,Sciences,Female,23,3rd Year 1st Semester,3.33,100,Only Self-Sourced Resources,1,No,Yes,No,No,0,0,Personal issues,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,No,No,0,Irregular,50-60%,50-60%,50-60%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Private,Engineering and Technology,Female,21,2nd Year 1st Semester,3.25,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,No,0,No,No,0,Irregular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,University dorm,Yes,1,Yes,Rarely,3,No
Public,Social Sciences,Female,23,3rd Year 1st Semester,3.25,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Social Sciences,70-80%,more than 12,Yes,8-12h,No,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
Public,Sciences,Female,25,4th Year 1st Semester,3.5,140,Only Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,No,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
National,Sciences,Male,22,2nd Year 2nd Semester,2.59,80,Only Self-Sourced Resources,3,Yes,Yes,No,No,0,0,0,0,0,Family problems,Math,Below 50%,3-7h,No,0,No,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,3,Yes
Public,Life Sciences,Female,21,2nd Year 1st Semester,3.25,60,Only Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,No,No,0,Regular,50-60%,60-70%,60-70%,4,Yes,Tuition,3-7h,Yes,University dorm,Yes,3,Yes,Sometimes,4,No
Private,Engineering and Technology ,Female,22,2nd Year 2nd Semester,3.5,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,1-3h,No,No,0,Regular,60-70%,70-80%,70-80%,4,Yes,Tuition,1-3h,Yes,With family,Yes,4,Yes,Sometimes,4,No
National,Sciences,Female,24,4th Year 1st Semester,2.9,140,Group Study,3,Yes,Yes,No,No,Lack of preparation,0,Personal issues,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,8-12h,Maybe,Yes,more than 12,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Engineering and Technology ,Male,22,2nd Year 2nd Semester,3.33,80,Only Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,1-3h,No,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,No
